red_case_id	red_slug	green_case_id	green_slug	green_fix_summary
sa02	sufficiency_claim_missing_counterexample_case	fg09	adequacy_obligations_attached_for_and_or_claims	Add the missing required fact or obligation and reconnect it to the same source identity.
sa03	complete_or_branch_missing_gap_scan	fg09	adequacy_obligations_attached_for_and_or_claims	Add the missing required fact or obligation and reconnect it to the same source identity.
sa04	assumption_missing_break_case	fg09	adequacy_obligations_attached_for_and_or_claims	Add the missing required fact or obligation and reconnect it to the same source identity.
sa05	hidden_dependency_missing_declaration	fg09	adequacy_obligations_attached_for_and_or_claims	Add the missing required fact or obligation and reconnect it to the same source identity.
sa06	tradeoff_goal_missing_conflict_clause	fg09	adequacy_obligations_attached_for_and_or_claims	Add the missing required fact or obligation and reconnect it to the same source identity.
sa07	approximation_claim_missing_proof_anchor	fg09	adequacy_obligations_attached_for_and_or_claims	Add the missing required fact or obligation and reconnect it to the same source identity.
sa08	exact_only_clause_missing_exactness_anchor	fg09	adequacy_obligations_attached_for_and_or_claims	Attach a machine-readable exactness anchor, such as EquivalenceBasis, ExactnessAnchor, or ProofBackendTarget.
tr01	whole_system_target_missing_goal_event_source	fg12	whole_system_goal_event_to_artifact_trace_complete	Bind the target back to its goal/event source and keep the whole-system trace connected.
tr02	whole_system_target_missing_usecase_link	fg12	whole_system_goal_event_to_artifact_trace_complete	Attach the missing UseCaseForTarget link so target achievement can depend on the runtime path.
tr03	whole_system_exact_clause_missing_witness_obligation	fg12	whole_system_goal_event_to_artifact_trace_complete	Attach the missing ClauseWitnessObligation to the exact lowered clause.
tr04	whole_system_target_blocked_by_linked_usecase_violation	fg12	whole_system_goal_event_to_artifact_trace_complete	Repair the linked use-case runtime obligation so both the use case and the whole-system target can achieve.
tr05	whole_system_lowered_clause_missing_artifact_identity	fg12	whole_system_goal_event_to_artifact_trace_complete	Attach ClauseArtifact to every lowered clause in the whole-system target so the artifact trace can really close.
